source,target,shortest_path,hours,days_used_by_model
C5,C1,C5->BC4C50->C4->BC1C40->C1,0.1125000000,0.0046875000
C5,C2,C5->BC5C60->C6->BC2C60->C2,0.0708333333,0.0029513889
C5,C3,C5->BC3C50->C3,0.0583333333,0.0024305556
C5,C4,C5->BC4C50->C4,0.0458333333,0.0019097222
C5,C6,C5->BC5C60->C6,0.0458333333,0.0019097222
C5,BC1C20,C5->BC4C50->C4->BC1C40->C1->BC1C20,0.1291666667,0.0053819444
C5,BC1C30,C5->BC3C50->C3->BC1C30,0.1208333333,0.0050347222
C5,BC1C40,C5->BC4C50->C4->BC1C40,0.0958333333,0.0039930556
C5,BC1C50,C5->BC1C50,0.0500000000,0.0020833333
C5,BC1C60,C5->BC5C60->C6->BC1C60,0.0958333333,0.0039930556
C5,BC2C30,C5->BC5C60->C6->BC2C60->C2->BC2C30,0.0958333333,0.0039930556
C5,BC2C40,C5->BC4C50->C4->BC2C40,0.0833333333,0.0034722222
C5,BC2C50,C5->BC2C50,0.0500000000,0.0020833333
C5,BC2C60,C5->BC5C60->C6->BC2C60,0.0625000000,0.0026041667
C5,BC3C40,C5->BC4C50->C4->BC3C40,0.0791666667,0.0032986111
C5,BC3C50,C5->BC3C50,0.0333333333,0.0013888889
C5,BC3C60,C5->BC3C50->C3->BC3C60,0.0750000000,0.0031250000
C5,BC4C50,C5->BC4C50,0.0333333333,0.0013888889
C5,BC4C60,C5->BC4C50->C4->BC4C60,0.0958333333,0.0039930556
C5,BC5C60,C5->BC5C60,0.0125000000,0.0005208333
C6,C1,C6->BC2C60->C2->BC1C20->C1,0.1041666667,0.0043402778
C6,C2,C6->BC2C60->C2,0.0250000000,0.0010416667
C6,C3,C6->BC3C60->C3,0.0541666667,0.0022569444
C6,C4,C6->BC2C60->C2->BC2C40->C4,0.0875000000,0.0036458333
C6,C5,C6->BC5C60->C5,0.0458333333,0.0019097222
C6,BC1C20,C6->BC2C60->C2->BC1C20,0.0875000000,0.0036458333
C6,BC1C30,C6->BC3C60->C3->BC1C30,0.1166666667,0.0048611111
C6,BC1C40,C6->BC2C60->C2->BC1C20->C1->BC1C40,0.1208333333,0.0050347222
C6,BC1C50,C6->BC5C60->C5->BC1C50,0.0958333333,0.0039930556
C6,BC1C60,C6->BC1C60,0.0500000000,0.0020833333
C6,BC2C30,C6->BC2C60->C2->BC2C30,0.0500000000,0.0020833333
C6,BC2C40,C6->BC2C60->C2->BC2C40,0.0500000000,0.0020833333
C6,BC2C50,C6->BC2C60->C2->BC2C50,0.0500000000,0.0020833333
C6,BC2C60,C6->BC2C60,0.0166666667,0.0006944444
C6,BC3C40,C6->BC3C60->C3->BC3C40,0.0791666667,0.0032986111
C6,BC3C50,C6->BC3C60->C3->BC3C50,0.0791666667,0.0032986111
C6,BC3C60,C6->BC3C60,0.0375000000,0.0015625000
C6,BC4C50,C6->BC5C60->C5->BC4C50,0.0791666667,0.0032986111
C6,BC4C60,C6->BC4C60,0.0833333333,0.0034722222
C6,BC5C60,C6->BC5C60,0.0333333333,0.0013888889
BC1C20,C1,BC1C20->C1,0.0166666667,0.0006944444
BC1C20,C2,BC1C20->C2,0.0625000000,0.0026041667
BC1C20,C3,BC1C20->C1->BC1C30->C3,0.1291666667,0.0053819444
BC1C20,C4,BC1C20->C1->BC1C40->C4,0.0833333333,0.0034722222
BC1C20,C5,BC1C20->C1->BC1C40->C4->BC4C50->C5,0.1291666667,0.0053819444
BC1C20,C6,BC1C20->C2->BC2C60->C6,0.0875000000,0.0036458333
BC1C20,BC1C30,BC1C20->C1->BC1C30,0.0666666667,0.0027777778
BC1C20,BC1C40,BC1C20->C1->BC1C40,0.0333333333,0.0013888889
BC1C20,BC1C50,BC1C20->C1->BC1C50,0.0916666667,0.0038194444
BC1C20,BC1C60,BC1C20->C1->BC1C60,0.1166666667,0.0048611111
BC1C20,BC2C30,BC1C20->C2->BC2C30,0.0875000000,0.0036458333
BC1C20,BC2C40,BC1C20->C2->BC2C40,0.0875000000,0.0036458333
BC1C20,BC2C50,BC1C20->C2->BC2C50,0.0875000000,0.0036458333
BC1C20,BC2C60,BC1C20->C2->BC2C60,0.0708333333,0.0029513889
BC1C20,BC3C40,BC1C20->C1->BC1C40->C4->BC3C40,0.1166666667,0.0048611111
BC1C20,BC3C50,BC1C20->C1->BC1C30->C3->BC3C50,0.1541666667,0.0064236111
BC1C20,BC3C60,BC1C20->C2->BC2C60->C6->BC3C60,0.1250000000,0.0052083333
BC1C20,BC4C50,BC1C20->C1->BC1C40->C4->BC4C50,0.0958333333,0.0039930556
BC1C20,BC4C60,BC1C20->C1->BC1C40->C4->BC4C60,0.1333333333,0.0055555556
BC1C20,BC5C60,BC1C20->C2->BC2C60->C6->BC5C60,0.1208333333,0.0050347222
BC1C30,C1,BC1C30->C1,0.0500000000,0.0020833333
BC1C30,C2,BC1C30->C1->BC1C20->C2,0.1291666667,0.0053819444
BC1C30,C3,BC1C30->C3,0.0625000000,0.0026041667
BC1C30,C4,BC1C30->C1->BC1C40->C4,0.1166666667,0.0048611111
BC1C30,C5,BC1C30->C3->BC3C50->C5,0.1208333333,0.0050347222
BC1C30,C6,BC1C30->C3->BC3C60->C6,0.1166666667,0.0048611111
BC1C30,BC1C20,BC1C30->C1->BC1C20,0.0666666667,0.0027777778
BC1C30,BC1C40,BC1C30->C1->BC1C40,0.0666666667,0.0027777778
BC1C30,BC1C50,BC1C30->C1->BC1C50,0.1250000000,0.0052083333
BC1C30,BC1C60,BC1C30->C1->BC1C60,0.1500000000,0.0062500000
BC1C30,BC2C30,BC1C30->C3->BC2C30,0.1041666667,0.0043402778
BC1C30,BC2C40,BC1C30->C1->BC1C20->C2->BC2C40,0.1541666667,0.0064236111
BC1C30,BC2C50,BC1C30->C1->BC1C20->C2->BC2C50,0.1541666667,0.0064236111
BC1C30,BC2C60,BC1C30->C3->BC3C60->C6->BC2C60,0.1333333333,0.0055555556
BC1C30,BC3C40,BC1C30->C3->BC3C40,0.0875000000,0.0036458333
BC1C30,BC3C50,BC1C30->C3->BC3C50,0.0875000000,0.0036458333
BC1C30,BC3C60,BC1C30->C3->BC3C60,0.0791666667,0.0032986111
BC1C30,BC4C50,BC1C30->C1->BC1C40->C4->BC4C50,0.1291666667,0.0053819444
BC1C30,BC4C60,BC1C30->C1->BC1C40->C4->BC4C60,0.1666666667,0.0069444444
BC1C30,BC5C60,BC1C30->C3->BC3C50->C5->BC5C60,0.1333333333,0.0055555556
BC1C40,C1,BC1C40->C1,0.0166666667,0.0006944444
BC1C40,C2,BC1C40->C1->BC1C20->C2,0.0958333333,0.0039930556
BC1C40,C3,BC1C40->C4->BC3C40->C3,0.1083333333,0.0045138889
BC1C40,C4,BC1C40->C4,0.0500000000,0.0020833333
BC1C40,C5,BC1C40->C4->BC4C50->C5,0.0958333333,0.0039930556
BC1C40,C6,BC1C40->C1->BC1C20->C2->BC2C60->C6,0.1208333333,0.0050347222
BC1C40,BC1C20,BC1C40->C1->BC1C20,0.0333333333,0.0013888889
BC1C40,BC1C30,BC1C40->C1->BC1C30,0.0666666667,0.0027777778
BC1C40,BC1C50,BC1C40->C1->BC1C50,0.0916666667,0.0038194444
BC1C40,BC1C60,BC1C40->C1->BC1C60,0.1166666667,0.0048611111
BC1C40,BC2C30,BC1C40->C1->BC1C20->C2->BC2C30,0.1208333333,0.0050347222
BC1C40,BC2C40,BC1C40->C4->BC2C40,0.0875000000,0.0036458333
BC1C40,BC2C50,BC1C40->C1->BC1C20->C2->BC2C50,0.1208333333,0.0050347222
BC1C40,BC2C60,BC1C40->C1->BC1C20->C2->BC2C60,0.1041666667,0.0043402778
BC1C40,BC3C40,BC1C40->C4->BC3C40,0.0833333333,0.0034722222
BC1C40,BC3C50,BC1C40->C4->BC4C50->C5->BC3C50,0.1291666667,0.0053819444
BC1C40,BC3C60,BC1C40->C4->BC3C40->C3->BC3C60,0.1250000000,0.0052083333
BC1C40,BC4C50,BC1C40->C4->BC4C50,0.0625000000,0.0026041667
BC1C40,BC4C60,BC1C40->C4->BC4C60,0.1000000000,0.0041666667
BC1C40,BC5C60,BC1C40->C4->BC4C50->C5->BC5C60,0.1083333333,0.0045138889
BC1C50,C1,BC1C50->C1,0.0750000000,0.0031250000
BC1C50,C2,BC1C50->C5->BC5C60->C6->BC2C60->C2,0.1208333333,0.0050347222
BC1C50,C3,BC1C50->C5->BC3C50->C3,0.1083333333,0.0045138889
BC1C50,C4,BC1C50->C5->BC4C50->C4,0.0958333333,0.0039930556
BC1C50,C5,BC1C50->C5,0.0500000000,0.0020833333
BC1C50,C6,BC1C50->C5->BC5C60->C6,0.0958333333,0.0039930556
BC1C50,BC1C20,BC1C50->C1->BC1C20,0.0916666667,0.0038194444
BC1C50,BC1C30,BC1C50->C1->BC1C30,0.1250000000,0.0052083333
BC1C50,BC1C40,BC1C50->C1->BC1C40,0.0916666667,0.0038194444
BC1C50,BC1C60,BC1C50->C5->BC5C60->C6->BC1C60,0.1458333333,0.0060763889
BC1C50,BC2C30,BC1C50->C5->BC5C60->C6->BC2C60->C2->BC2C30,0.1458333333,0.0060763889
BC1C50,BC2C40,BC1C50->C5->BC4C50->C4->BC2C40,0.1333333333,0.0055555556
BC1C50,BC2C50,BC1C50->C5->BC2C50,0.1000000000,0.0041666667
BC1C50,BC2C60,BC1C50->C5->BC5C60->C6->BC2C60,0.1125000000,0.0046875000
BC1C50,BC3C40,BC1C50->C5->BC4C50->C4->BC3C40,0.1291666667,0.0053819444
BC1C50,BC3C50,BC1C50->C5->BC3C50,0.0833333333,0.0034722222
BC1C50,BC3C60,BC1C50->C5->BC3C50->C3->BC3C60,0.1250000000,0.0052083333
BC1C50,BC4C50,BC1C50->C5->BC4C50,0.0833333333,0.0034722222
BC1C50,BC4C60,BC1C50->C5->BC4C50->C4->BC4C60,0.1458333333,0.0060763889
BC1C50,BC5C60,BC1C50->C5->BC5C60,0.0625000000,0.0026041667
BC1C60,C1,BC1C60->C1,0.1000000000,0.0041666667
BC1C60,C2,BC1C60->C6->BC2C60->C2,0.0750000000,0.0031250000
BC1C60,C3,BC1C60->C6->BC3C60->C3,0.1041666667,0.0043402778
BC1C60,C4,BC1C60->C6->BC2C60->C2->BC2C40->C4,0.1375000000,0.0057291667
BC1C60,C5,BC1C60->C6->BC5C60->C5,0.0958333333,0.0039930556
BC1C60,C6,BC1C60->C6,0.0500000000,0.0020833333
BC1C60,BC1C20,BC1C60->C1->BC1C20,0.1166666667,0.0048611111
BC1C60,BC1C30,BC1C60->C1->BC1C30,0.1500000000,0.0062500000
BC1C60,BC1C40,BC1C60->C1->BC1C40,0.1166666667,0.0048611111
BC1C60,BC1C50,BC1C60->C6->BC5C60->C5->BC1C50,0.1458333333,0.0060763889
BC1C60,BC2C30,BC1C60->C6->BC2C60->C2->BC2C30,0.1000000000,0.0041666667
BC1C60,BC2C40,BC1C60->C6->BC2C60->C2->BC2C40,0.1000000000,0.0041666667
BC1C60,BC2C50,BC1C60->C6->BC2C60->C2->BC2C50,0.1000000000,0.0041666667
BC1C60,BC2C60,BC1C60->C6->BC2C60,0.0666666667,0.0027777778
BC1C60,BC3C40,BC1C60->C6->BC3C60->C3->BC3C40,0.1291666667,0.0053819444
BC1C60,BC3C50,BC1C60->C6->BC3C60->C3->BC3C50,0.1291666667,0.0053819444
BC1C60,BC3C60,BC1C60->C6->BC3C60,0.0875000000,0.0036458333
BC1C60,BC4C50,BC1C60->C6->BC5C60->C5->BC4C50,0.1291666667,0.0053819444
BC1C60,BC4C60,BC1C60->C6->BC4C60,0.1333333333,0.0055555556
BC1C60,BC5C60,BC1C60->C6->BC5C60,0.0833333333,0.0034722222
BC2C30,C1,BC2C30->C2->BC1C20->C1,0.1041666667,0.0043402778
BC2C30,C2,BC2C30->C2,0.0250000000,0.0010416667
BC2C30,C3,BC2C30->C3,0.0416666667,0.0017361111
BC2C30,C4,BC2C30->C2->BC2C40->C4,0.0875000000,0.0036458333
BC2C30,C5,BC2C30->C2->BC2C60->C6->BC5C60->C5,0.0958333333,0.0039930556
BC2C30,C6,BC2C30->C2->BC2C60->C6,0.0500000000,0.0020833333
BC2C30,BC1C20,BC2C30->C2->BC1C20,0.0875000000,0.0036458333
BC2C30,BC1C30,BC2C30->C3->BC1C30,0.1041666667,0.0043402778
BC2C30,BC1C40,BC2C30->C2->BC1C20->C1->BC1C40,0.1208333333,0.0050347222
BC2C30,BC1C50,BC2C30->C2->BC2C60->C6->BC5C60->C5->BC1C50,0.1458333333,0.0060763889
BC2C30,BC1C60,BC2C30->C2->BC2C60->C6->BC1C60,0.1000000000,0.0041666667
BC2C30,BC2C40,BC2C30->C2->BC2C40,0.0500000000,0.0020833333
BC2C30,BC2C50,BC2C30->C2->BC2C50,0.0500000000,0.0020833333
BC2C30,BC2C60,BC2C30->C2->BC2C60,0.0333333333,0.0013888889
BC2C30,BC3C40,BC2C30->C3->BC3C40,0.0666666667,0.0027777778
BC2C30,BC3C50,BC2C30->C3->BC3C50,0.0666666667,0.0027777778
BC2C30,BC3C60,BC2C30->C3->BC3C60,0.0583333333,0.0024305556
BC2C30,BC4C50,BC2C30->C2->BC2C40->C4->BC4C50,0.1000000000,0.0041666667
BC2C30,BC4C60,BC2C30->C2->BC2C60->C6->BC4C60,0.1333333333,0.0055555556
BC2C30,BC5C60,BC2C30->C2->BC2C60->C6->BC5C60,0.0833333333,0.0034722222
BC2C40,C1,BC2C40->C2->BC1C20->C1,0.1041666667,0.0043402778
BC2C40,C2,BC2C40->C2,0.0250000000,0.0010416667
BC2C40,C3,BC2C40->C2->BC2C30->C3,0.0916666667,0.0038194444
BC2C40,C4,BC2C40->C4,0.0375000000,0.0015625000
BC2C40,C5,BC2C40->C4->BC4C50->C5,0.0833333333,0.0034722222
BC2C40,C6,BC2C40->C2->BC2C60->C6,0.0500000000,0.0020833333
BC2C40,BC1C20,BC2C40->C2->BC1C20,0.0875000000,0.0036458333
BC2C40,BC1C30,BC2C40->C2->BC1C20->C1->BC1C30,0.1541666667,0.0064236111
BC2C40,BC1C40,BC2C40->C4->BC1C40,0.0875000000,0.0036458333
BC2C40,BC1C50,BC2C40->C4->BC4C50->C5->BC1C50,0.1333333333,0.0055555556
BC2C40,BC1C60,BC2C40->C2->BC2C60->C6->BC1C60,0.1000000000,0.0041666667
BC2C40,BC2C30,BC2C40->C2->BC2C30,0.0500000000,0.0020833333
BC2C40,BC2C50,BC2C40->C2->BC2C50,0.0500000000,0.0020833333
BC2C40,BC2C60,BC2C40->C2->BC2C60,0.0333333333,0.0013888889
BC2C40,BC3C40,BC2C40->C4->BC3C40,0.0708333333,0.0029513889
BC2C40,BC3C50,BC2C40->C2->BC2C30->C3->BC3C50,0.1166666667,0.0048611111
BC2C40,BC3C60,BC2C40->C2->BC2C60->C6->BC3C60,0.0875000000,0.0036458333
BC2C40,BC4C50,BC2C40->C4->BC4C50,0.0500000000,0.0020833333
BC2C40,BC4C60,BC2C40->C4->BC4C60,0.0875000000,0.0036458333
BC2C40,BC5C60,BC2C40->C2->BC2C60->C6->BC5C60,0.0833333333,0.0034722222
BC2C50,C1,BC2C50->C2->BC1C20->C1,0.1041666667,0.0043402778
BC2C50,C2,BC2C50->C2,0.0250000000,0.0010416667
BC2C50,C3,BC2C50->C2->BC2C30->C3,0.0916666667,0.0038194444
BC2C50,C4,BC2C50->C2->BC2C40->C4,0.0875000000,0.0036458333
BC2C50,C5,BC2C50->C5,0.0500000000,0.0020833333
BC2C50,C6,BC2C50->C2->BC2C60->C6,0.0500000000,0.0020833333
BC2C50,BC1C20,BC2C50->C2->BC1C20,0.0875000000,0.0036458333
BC2C50,BC1C30,BC2C50->C2->BC1C20->C1->BC1C30,0.1541666667,0.0064236111
BC2C50,BC1C40,BC2C50->C2->BC1C20->C1->BC1C40,0.1208333333,0.0050347222
BC2C50,BC1C50,BC2C50->C5->BC1C50,0.1000000000,0.0041666667
BC2C50,BC1C60,BC2C50->C2->BC2C60->C6->BC1C60,0.1000000000,0.0041666667
BC2C50,BC2C30,BC2C50->C2->BC2C30,0.0500000000,0.0020833333
BC2C50,BC2C40,BC2C50->C2->BC2C40,0.0500000000,0.0020833333
BC2C50,BC2C60,BC2C50->C2->BC2C60,0.0333333333,0.0013888889
BC2C50,BC3C40,BC2C50->C2->BC2C30->C3->BC3C40,0.1166666667,0.0048611111
BC2C50,BC3C50,BC2C50->C5->BC3C50,0.0833333333,0.0034722222
BC2C50,BC3C60,BC2C50->C2->BC2C60->C6->BC3C60,0.0875000000,0.0036458333
BC2C50,BC4C50,BC2C50->C5->BC4C50,0.0833333333,0.0034722222
BC2C50,BC4C60,BC2C50->C2->BC2C60->C6->BC4C60,0.1333333333,0.0055555556
BC2C50,BC5C60,BC2C50->C5->BC5C60,0.0625000000,0.0026041667
BC2C60,C1,BC2C60->C2->BC1C20->C1,0.0875000000,0.0036458333
BC2C60,C2,BC2C60->C2,0.0083333333,0.0003472222
BC2C60,C3,BC2C60->C6->BC3C60->C3,0.0708333333,0.0029513889
BC2C60,C4,BC2C60->C2->BC2C40->C4,0.0708333333,0.0029513889
BC2C60,C5,BC2C60->C6->BC5C60->C5,0.0625000000,0.0026041667
BC2C60,C6,BC2C60->C6,0.0166666667,0.0006944444
BC2C60,BC1C20,BC2C60->C2->BC1C20,0.0708333333,0.0029513889
BC2C60,BC1C30,BC2C60->C6->BC3C60->C3->BC1C30,0.1333333333,0.0055555556
BC2C60,BC1C40,BC2C60->C2->BC1C20->C1->BC1C40,0.1041666667,0.0043402778
BC2C60,BC1C50,BC2C60->C6->BC5C60->C5->BC1C50,0.1125000000,0.0046875000
BC2C60,BC1C60,BC2C60->C6->BC1C60,0.0666666667,0.0027777778
BC2C60,BC2C30,BC2C60->C2->BC2C30,0.0333333333,0.0013888889
BC2C60,BC2C40,BC2C60->C2->BC2C40,0.0333333333,0.0013888889
BC2C60,BC2C50,BC2C60->C2->BC2C50,0.0333333333,0.0013888889
BC2C60,BC3C40,BC2C60->C6->BC3C60->C3->BC3C40,0.0958333333,0.0039930556
BC2C60,BC3C50,BC2C60->C6->BC3C60->C3->BC3C50,0.0958333333,0.0039930556
BC2C60,BC3C60,BC2C60->C6->BC3C60,0.0541666667,0.0022569444
BC2C60,BC4C50,BC2C60->C2->BC2C40->C4->BC4C50,0.0833333333,0.0034722222
BC2C60,BC4C60,BC2C60->C6->BC4C60,0.1000000000,0.0041666667
BC2C60,BC5C60,BC2C60->C6->BC5C60,0.0500000000,0.0020833333
BC3C40,C1,BC3C40->C4->BC1C40->C1,0.1000000000,0.0041666667
BC3C40,C2,BC3C40->C3->BC2C30->C2,0.0916666667,0.0038194444
BC3C40,C3,BC3C40->C3,0.0250000000,0.0010416667
BC3C40,C4,BC3C40->C4,0.0333333333,0.0013888889
BC3C40,C5,BC3C40->C4->BC4C50->C5,0.0791666667,0.0032986111
BC3C40,C6,BC3C40->C3->BC3C60->C6,0.0791666667,0.0032986111
BC3C40,BC1C20,BC3C40->C4->BC1C40->C1->BC1C20,0.1166666667,0.0048611111
BC3C40,BC1C30,BC3C40->C3->BC1C30,0.0875000000,0.0036458333
BC3C40,BC1C40,BC3C40->C4->BC1C40,0.0833333333,0.0034722222
BC3C40,BC1C50,BC3C40->C4->BC4C50->C5->BC1C50,0.1291666667,0.0053819444
BC3C40,BC1C60,BC3C40->C3->BC3C60->C6->BC1C60,0.1291666667,0.0053819444
BC3C40,BC2C30,BC3C40->C3->BC2C30,0.0666666667,0.0027777778
BC3C40,BC2C40,BC3C40->C4->BC2C40,0.0708333333,0.0029513889
BC3C40,BC2C50,BC3C40->C3->BC2C30->C2->BC2C50,0.1166666667,0.0048611111
BC3C40,BC2C60,BC3C40->C3->BC3C60->C6->BC2C60,0.0958333333,0.0039930556
BC3C40,BC3C50,BC3C40->C3->BC3C50,0.0500000000,0.0020833333
BC3C40,BC3C60,BC3C40->C3->BC3C60,0.0416666667,0.0017361111
BC3C40,BC4C50,BC3C40->C4->BC4C50,0.0458333333,0.0019097222
BC3C40,BC4C60,BC3C40->C4->BC4C60,0.0833333333,0.0034722222
BC3C40,BC5C60,BC3C40->C4->BC4C50->C5->BC5C60,0.0916666667,0.0038194444
BC3C50,C1,BC3C50->C3->BC1C30->C1,0.1375000000,0.0057291667
BC3C50,C2,BC3C50->C3->BC2C30->C2,0.0916666667,0.0038194444
BC3C50,C3,BC3C50->C3,0.0250000000,0.0010416667
BC3C50,C4,BC3C50->C5->BC4C50->C4,0.0791666667,0.0032986111
BC3C50,C5,BC3C50->C5,0.0333333333,0.0013888889
BC3C50,C6,BC3C50->C3->BC3C60->C6,0.0791666667,0.0032986111
BC3C50,BC1C20,BC3C50->C3->BC1C30->C1->BC1C20,0.1541666667,0.0064236111
BC3C50,BC1C30,BC3C50->C3->BC1C30,0.0875000000,0.0036458333
BC3C50,BC1C40,BC3C50->C5->BC4C50->C4->BC1C40,0.1291666667,0.0053819444
BC3C50,BC1C50,BC3C50->C5->BC1C50,0.0833333333,0.0034722222
BC3C50,BC1C60,BC3C50->C3->BC3C60->C6->BC1C60,0.1291666667,0.0053819444
BC3C50,BC2C30,BC3C50->C3->BC2C30,0.0666666667,0.0027777778
BC3C50,BC2C40,BC3C50->C3->BC2C30->C2->BC2C40,0.1166666667,0.0048611111
BC3C50,BC2C50,BC3C50->C5->BC2C50,0.0833333333,0.0034722222
BC3C50,BC2C60,BC3C50->C3->BC3C60->C6->BC2C60,0.0958333333,0.0039930556
BC3C50,BC3C40,BC3C50->C3->BC3C40,0.0500000000,0.0020833333
BC3C50,BC3C60,BC3C50->C3->BC3C60,0.0416666667,0.0017361111
BC3C50,BC4C50,BC3C50->C5->BC4C50,0.0666666667,0.0027777778
